"項目","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2013_平成25年度"
"","","","","","","","","","","","","",""
"１．財産所得","321234.0","275645.0","263390.0","250623.0","304571.0","343810.0","354612.0","304455.0","283390.0","279875.0","287807.0","292883.0","309254.0"
"１．財産所得_(1)利子","216453.0","185864.0","179636.0","166300.0","196040.0","232279.0","251293.0","220376.0","200195.0","193444.0","197279.0","196830.0","205927.0"
"１．財産所得_(2)法人企業の分配所得","5636.0","5907.0","9191.0","9480.0","20935.0","20755.0","18371.0","10539.0","8544.0","12029.0","15890.0","20731.0","23703.0"
"１．財産所得_(3)保険契約者に帰属する財産所得","97684.0","82530.0","73299.0","73668.0","86515.0","89777.0","84032.0","72799.0","73979.0","73801.0","74082.0","74805.0","79132.0"
"１．財産所得_(4)賃貸料","1461.0","1344.0","1264.0","1175.0","1081.0","999.0","916.0","741.0","672.0","601.0","556.0","517.0","492.0"
"２．所得・富等に課される経常税","7709.0","7742.0","8055.0","8805.0","8708.0","12426.0","10865.0","9941.0","6195.0","7026.0","7267.0","7441.0","11139.0"
"３．現物社会移転以外の社会給付","44207.0","44404.0","38899.0","38007.0","36029.0","38199.0","40091.0","41274.0","43470.0","42174.0","42589.0","44890.0","43980.0"
"３．現物社会移転以外の社会給付_(1)年金基金による社会給付","40560.0","39579.0","35936.0","34819.0","33063.0","34900.0","37400.0","39304.0","40941.0","39554.0","40316.0","41983.0","41415.0"
"３．現物社会移転以外の社会給付_(2)無基金雇用者社会給付","3647.0","4825.0","2963.0","3188.0","2966.0","3299.0","2691.0","1970.0","2529.0","2620.0","2273.0","2907.0","2565.0"
"４．その他の経常移転","38517.0","34510.0","35184.0","41130.0","39769.0","40720.0","39449.0","43116.0","45246.0","42557.0","49187.0","41935.0","42308.0"
"４．その他の経常移転_うち非生命保険純保険料","109.0","90.0","86.0","98.0","94.0","89.0","86.0","95.0","99.0","92.0","99.0","84.0","84.0"
"４．その他の経常移転_非生命保険金","36788.0","32912.0","33480.0","39557.0","38395.0","39041.0","37680.0","40941.0","43076.0","40706.0","47079.0","40110.0","40490.0"
"５．年金基金年金準備金の変動","5534.0","6147.0","3144.0","-2370.0","-1398.0","-1950.0","-5878.0","-9669.0","-12218.0","-10764.0","-12936.0","-13773.0","-13564.0"
"６．貯蓄","107291.0","115209.0","105179.0","100759.0","106048.0","103940.0","111920.0","67660.0","68694.0","60806.0","64034.0","73251.0","61965.0"
"","","","","","","","","","","","","",""
"支払","524492.0","483658.0","453851.0","436954.0","493726.0","537145.0","551059.0","456777.0","434778.0","421673.0","437948.0","446627.0","455082.0"
"(参考)支払利子（ＦＩＳＩＭ調整前）","210750.0","180400.0","173224.0","158841.0","185564.0","218241.0","237650.0","209273.0","187438.0","181161.0","184140.0","187943.0","197039.0"
"","","","","","","","","","","","","",""
"７．営業余剰","108387.0","113446.0","116927.0","109381.0","118612.0","121524.0","116519.0","72117.0","68319.0","62556.0","65669.0","68404.0","67292.0"
"８．財産所得","329476.0","286665.0","261324.0","252295.0","302006.0","340259.0","362578.0","312042.0","292055.0","286931.0","295458.0","306929.0","316817.0"
"８．財産所得_(1)利子","314071.0","266993.0","237143.0","224307.0","260777.0","292353.0","316229.0","273771.0","253537.0","248343.0","242107.0","242016.0","244939.0"
"８．財産所得_(2)法人企業の分配所得","15289.0","19615.0","24131.0","27932.0","41173.0","47843.0","46283.0","38209.0","38462.0","38534.0","53294.0","64858.0","71827.0"
"８．財産所得_(3)保険契約者に帰属する財産所得","116.0","57.0","50.0","56.0","56.0","63.0","66.0","62.0","56.0","54.0","57.0","55.0","51.0"
"９．社会負担","49741.0","50552.0","42043.0","35637.0","34631.0","36249.0","34213.0","31605.0","31252.0","31409.0","29653.0","31117.0","30416.0"
"９．社会負担_(1)現実社会負担","46094.0","45727.0","39080.0","32449.0","31665.0","32950.0","31522.0","29635.0","28723.0","28789.0","27380.0","28210.0","27851.0"
"９．社会負担_a.雇主の自発的現実社会負担","33654.0","34322.0","29783.0","24472.0","23403.0","24995.0","24199.0","23563.0","23179.0","23441.0","23911.0","24786.0","24416.0"
"９．社会負担_b.雇用者の自発的社会負担","12439.0","11405.0","9297.0","7977.0","8262.0","7955.0","7323.0","6072.0","5544.0","5348.0","3469.0","3424.0","3435.0"
"９．社会負担_(1)帰属社会負担","3647.0","4825.0","2963.0","3188.0","2966.0","3299.0","2691.0","1970.0","2529.0","2620.0","2273.0","2907.0","2565.0"
"10．その他の経常移転","36888.0","32995.0","33557.0","39641.0","38477.0","39113.0","37749.0","41013.0","43152.0","40777.0","47168.0","40177.0","40557.0"
"10．その他の経常移転_うち非生命保険純保険料","36788.0","32912.0","33480.0","39557.0","38395.0","39041.0","37680.0","40941.0","43076.0","40706.0","47079.0","40110.0","40490.0"
"10．その他の経常移転_非生命保険金","100.0","83.0","77.0","84.0","82.0","72.0","69.0","72.0","76.0","71.0","89.0","67.0","67.0"
"","","","","","","","","","","","","",""
"受取","524492.0","483658.0","453851.0","436954.0","493726.0","537145.0","551059.0","456777.0","434778.0","421673.0","437948.0","446627.0","455082.0"
"(参考)受取利子（ＦＩＳＩＭ調整前）","422146.0","381140.0","350155.0","332833.0","364626.0","389615.0","407380.0","357916.0","329624.0","318506.0","312523.0","306608.0","309531.0"
